"Marker","PRAD-01_landmark","PRAD-02_landmark","PRAD-03_landmark","PRAD-04_landmark","PRAD-05_landmark","PRAD-06_landmark","PRAD-07_landmark","PRAD-08_landmark","PRAD-09_landmark","PRAD-10_landmark","PRAD-11_landmark","PRAD-12_landmark","PRAD-13_landmark","PRAD-14_landmark","PRAD-15_landmark","PRAD-16_landmark","PRAD-17_landmark","PRAD-18_landmark","PRAD-19_landmark","PRAD-20_landmark"
"DAPI_R1",405,481,506,506,554,604,603,607,558,521,614,616,656,688,736,770,821,818,869,898
"EPCAM",428,460,519,531,555,569,600,608,635,571,590,615,653,656,716,754,825,836,842,924
"CD56",418,487,504,511,571,564,613,631,643,555,572,608,639,687,750,779,800,807,839,885
"CD45",410,436,468,495,521,579,583,593,620,546,571,579,609,697,738,772,766,817,843,843
"aSMA",442,455,509,514,522,549,609,611,646,538,566,585,623,677,697,754,803,804,884,830
"ChromA",449,439,497,532,551,594,596,629,631,577,563,614,688,680,735,741,807,811,877,867
"CK14",380,456,479,489,519,561,580,617,626,532,568,587,629,675,653,756,776,821,839,857
"Ki67",407,457,495,522,570,287,588,589,641,570,564,602,636,680,720,753,795,827,836,879
"GZMB",418,449,489,555,519,577,618,632,648,549,577,613,640,690,709,773,802,841,857,893
"ECAD",425,473,500,520,575,541,587,620,620,559,575,610,639,669,695,763,803,818,833,861
"PD1",161,451,494,522,566,564,587,623,635,554,566,589,646,669,691,756,842,799,854,852
"CD31",419,460,537,554,551,578,603,616,653,566,580,594,680,703,728,758,806,827,873,886
"CD45RA",391,440,492,532,543,567,565,576,619,544,609,613,630,656,725,749,783,802,829,858
"HLADRB1",416,491,544,554,566,577,610,594,651,552,608,596,635,684,737,796,803,855,830,877
"CD3",427,530,518,547,582,598,605,654,573,600,579,605,643,704,745,777,829,817,847,907
"p53",408,452,499,527,544,596,595,614,621,555,594,614,678,667,716,761,810,828,865,867
"FOXA1",437,488,525,258,565,598,588,624,661,683,603,640,655,699,716,788,799,798,826,886
"CDX2",432,467,499,512,570,553,618,626,629,569,591,599,640,693,726,790,793,850,849,893
"CD20",450,452,516,537,570,594,587,623,636,539,594,627,677,667,715,753,808,813,846,868
"NOTCH1",425,457,485,516,563,557,596,601,657,534,581,606,656,715,736,765,788,821,858,866
